Fund,Fund Manager,Category,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,classification
360 ONE Balanced Hybrid Fund Reg(G),Mayur Patel,HY-EQ,1.86,2.48,1.39,-0.93,-1.1,0.81,1.8,0.29,-0.59,-1.57,Hybrid : Equity Oriented
360 ONE Dynamic Bond Fund Reg(G),Milan Mody,DT-DYN,1.88,1.2,-0.13,0.7,-0.72,1.24,0.74,0.69,0.09,0.14,Debt : Dynamic Bond
360 ONE ELSS Tax Saver Nifty 50 Index Fund Reg(G),Ashish Ongari,EQ-ELSS,3.35,1.86,3.3,-2.79,-1.24,0.76,4.55,1.87,-0.32,-3.08,Equity : Tax Saving (ELSS)
360 ONE Flexicap Fund Reg(G),Mayur Patel,EQ-FLEX,2.26,4.28,3.05,-2.34,-2.08,1.17,3.88,0.15,-1.19,-3.3,Equity : Flexi Cap
360 ONE Focused Fund Reg(G),Mayur Patel,EQ-MLC,1.74,3.71,2.44,-2.22,-2.62,1.45,3.55,0.51,-0.73,-2.72,Equity : Multi Cap
360 ONE Gold ETF,Rahul Khetawat,GOLD-ETF,3.83,1.12,0.59,2.38,3.78,12,4.77,4.46,5.04,23.19,Gold : ETFs
360 ONE Liquid Fund Reg(G),Milan Mody,DT-LIQ,0.56,0.52,0.51,0.47,0.46,0.46,0.46,0.46,0.48,0.41,Debt : Liquid
360 ONE Multi Asset Allocation Fund Reg(G),Mayur Patel,HY-MULTI,-,-,-,-,-,5.79,2.92,2.21,3.27,4.69,Hybrid : Multi Asset Allocation
360 ONE Overnight Fund Reg(G),Milan Mody,DT-ON,-,-,-,-,0.45,0.44,0.46,0.44,0.45,0.43,Debt : Overnight
360 ONE Quant Fund Reg(G),Ashish Ongari,EQ-THEM,4.85,2.8,4.97,-3.59,-2.22,1.5,2.21,1.28,0.34,-3.14,Equity : Thematic
360 ONE Silver ETF,Rahul Khetawat,GOLD-ETF,-6.51,3.33,8.36,3.89,6.62,20.16,4.72,10,38.13,44.87,Gold : ETFs
Abakkus Flexi Cap Fund Reg(G),Sanjay Doshi,EQ-FLEX,-,-,-,-,-,-,-,-,-,-1.8,Equity : Flexi Cap
Abakkus Liquid Fund Reg(G),Sanjay Doshi,DT-LIQ,-,-,-,-,-,-,-,-,-,0.41,Debt : Liquid
Aditya Birla SL Aggressive Hybrid Omni FOF(G),Vinod Narayan Bhat,FOF-DOM,2.93,2.22,1.98,-1.16,-1.07,0.83,3.24,0.94,-0.1,-2.43,FoFs : Domestic
Aditya Birla SL Arbitrage Fund(G),Lovelish Solanki,HY-ARB,0.71,0.39,0.56,0.5,0.38,0.35,0.49,0.53,0.57,0.55,Hybrid : Arbitrage
Aditya Birla SL Bal Bhavishya Yojna Reg(G),Harshil Suvarnkar,HY-SOL,2.78,4.92,3.45,-1.1,-2.82,1.09,4.82,0.98,-0.05,-3.2,Hybrid : Solution Oriented
Aditya Birla SL Balanced Advantage Fund(G),Mohit Sharma,HY-DYN,2.94,1.58,2.59,-1.35,-0.89,0.5,2.72,0.98,0.36,-1.28,Hybrid : Dynamic Asset Allocation
Aditya Birla SL Banking & Financial Services Fund Reg(G),Dhaval Gala,EQ-FIN,5.25,2.21,4.05,-3.56,-3.27,2.52,4.89,3.13,-0.26,-1.33,Equity : Sectoral - Financial Services
Aditya Birla SL Banking & PSU Debt Fund(G),Kaustubh Gupta,DT-B&PSU,1.47,1.13,-0.1,0.57,-0.2,0.63,0.83,0.51,0.02,-0.15,Debt : Banking & PSU
Aditya Birla SL BSE 500 Momentum 50 Index Fund Reg(G),Priya Sridhar,EQ-INDX,-,-,-,-,-,-0.13,4.26,0.54,0.2,-3.03,Equity : Index Funds
Aditya Birla SL BSE 500 Quality 50 Index Fund Reg(G),Priya Sridhar,EQ-INDX,-,-,-,-,-,0.74,2.85,0.08,0.46,-1.4,Equity : Index Funds
Aditya Birla SL BSE India Infrastructure Index Fund Reg(G),Priya Sridhar,EQ-INFRA,0.59,4.93,2.89,-3.88,-4.58,4.46,3.18,-2.45,-1.36,-2.18,Equity : Sectoral - Infrastructure
Aditya Birla SL BSE Sensex ETF,Priya Sridhar,EQ-ETF,3.67,1.74,2.96,-2.76,-1.55,0.58,4.69,2.15,-0.52,-3.44,Equity : ETFs
Aditya Birla SL Business Cycle Fund Reg(G),Harish krishnan,EQ-THEM,2.57,3.76,3.22,-2.86,-2.21,0.75,5.57,0.52,-0.38,-2.32,Equity : Thematic
Aditya Birla SL Conglomerate Fund Reg(G),Harish krishnan,EQ-THEM,1.72,5.58,2.93,-4.4,-1.34,2.04,4.67,0,-1,-5.24,Equity : Thematic
Aditya Birla SL Conservative Hybrid Active FOF(G),Vinod Narayan Bhat,FOF-DOM,2.45,1.33,0.74,-0.32,-0.94,1.09,1.47,0.49,0.17,-0.84,FoFs : Domestic
Aditya Birla SL Consumption Fund Reg(G),Chanchal Khandelwal,EQ-CONS,5.35,1.27,3.53,-1.09,0.77,-0.29,2.04,-0.13,-0.61,-5.89,Equity : Thematic - Consumption
Aditya Birla SL Corp Bond Fund(G),Kaustubh Gupta,DT-CORP,1.49,1.01,-0.14,0.6,-0.43,0.74,0.81,0.58,0.12,-0.23,Debt : Corporate Bond
Aditya Birla SL Credit Risk Fund Reg(G),Sunaina da Cunha,DT-CR,1.27,1.1,0.53,0.99,0.23,1.07,0.79,0.8,0.23,3.5,Debt : Credit Risk
Aditya Birla SL CRISIL 10 Year Gilt ETF,Bhupesh Bameta,DT-ETF,2.02,1.06,-0.19,0.24,-1.17,0.76,0.89,0.24,-0.13,-0.15,Debt : ETFs
Aditya Birla SL CRISIL Broad Based Gilt ETF,Kaustubh Gupta,DT-ETF,2.06,0.9,-0.76,0.46,-1.25,1.2,0.62,0.25,0.32,0.11,Debt : ETFs
Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund Reg(G),Mohit Sharma,DT-M&LD,1.67,1.25,0.14,0.51,-0.35,0.9,0.74,0.44,0.54,0.21,Debt : Medium to Long Duration
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU   Apr 2027 Index Fund Reg(G),Mohit Sharma,DT-M&LD,1.17,0.95,0.42,0.58,0.24,0.55,0.58,0.47,0.44,0.34,Debt : Medium to Long Duration
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund Reg(G),Bhupesh Bameta,DT-B&PSU,0.84,0.69,0.56,0.48,0.38,0.49,0.45,0.42,0.48,0.41,Debt : Banking & PSU
Aditya Birla SL CRISIL IBX Gilt   April 2026 Index Fund Reg(G),Bhupesh Bameta,DT-MD,0.86,0.69,0.49,0.45,0.39,0.45,0.42,0.44,0.47,0.43,Debt : Medium Duration
Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund Reg(G),Bhupesh Bameta,DT-M&LD,1.34,1.09,0.2,0.46,0.13,0.61,0.56,0.45,0.37,0.4,Debt : Medium to Long Duration
Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund Reg(G),Harshil Suvarnkar,DT-GILT,1.7,1.39,-0.09,0.47,-0.42,1.18,0.56,0.69,0.19,0.34,Debt : Gilt
Aditya Birla SL CRISIL IBX Gilt April 2033 Index Fund Reg(G),Bhupesh Bameta,DT-LD,2.04,1.2,-0.54,0.38,-0.87,0.78,0.63,0.76,0,-0.03,Debt : Long Duration
